"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:34","Kannst du mich trainieren?","Tudsz képezni?","","False","DIA_GorNaToth_Abweisend.description","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:48","Kannst du mich trainieren?","Tudsz képezni?","","False","DIA_GorNaToth_AngarTalked_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:49","Geh mir aus den Augen, Unwürdiger. Ich trainiere nur die Templer des Schläfers.","Tűnj el a szemem elől, hitvány ember. Én csak az Alvó templomosait okítom.","","False","DIA_GorNaToth_AngarTalked_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:75","Cor Angar hat mit dir geredet? Was hat er gesagt?","Cor Angar beszélt veled? És mit mondott?","","False","DIA_GorNaToth_AngarTalked_11_00","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:77","Er hat gesagt, du seist unwürdig, die Rüstung eines Templers zu tragen.","Azt mondja, hogy te még nem vagy méltó arra, hogy a templomosok vértjét viseld.","","False","DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Unworthy","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:78","Er sagte, die Sumpfhaie habe er noch nie leiden können.","Azt mondja soha nem szerette a Mocsárcápákat.","","False","DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Shark","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:79","Er hat gesagt, ich soll wiederkommen, wenn ich Templer bin.","Azt mondja jöjjek vissza ha már Templomos vagyok.","","False","DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Normal","Info_AddChoice",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:84","Er hat gesagt, ich soll wiederkommen, wenn ich Templer bin.","Azt mondja jöjjek vissza ha már Templomos vagyok.","","False","DIA_GorNaToth_AngarTalked_Normal_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:85","Er scheint sehr viel von dir zu halten. Er redet so gut wie nie mit jemandem.","Úgy tűnik igen jó véleménye van rólad. Ő senkihez sem szól.","","False","DIA_GorNaToth_AngarTalked_Normal_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:86","Es ist eine große Ehre für dich, dass er dich überhaupt bemerkt hat. Mit MIR hat er das letzte Mal vor zwei Monaten geredet.","Már az megtiszteltetés ha felfigyel rád. Utoljára mikor ENGEM megszólított, az olyan két hónapja volt.","","False","DIA_GorNaToth_AngarTalked_Normal_11_02","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:92","Er sagte, die Sumpfhaie habe er noch nie leiden können.","Azt mondja soha nem szerette a Mocsárcápákat.","","False","DIA_GorNaToth_AngarTalked_Shark_15_00","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:93","Was ...? (bestimmt) Eine heilige Aufgabe erwartet mich!","Micsoda...? Egy szent feladat vár reám!","","False","DIA_GorNaToth_AngarTalked_Shark_11_01","",""
"Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:94","Der Wunsch meines Meisters ist mir Befehl.","A mesterem kívánsága parancs.","","False","DIA_GorNaToth_AngarTalked_Shark_11_02","",""
