"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","1 Stück rohes Fleisch braten.","1 Stück rohes Fleisch braten.","","","PC_FryMeat_1.description","",""
"","5 Stücke rohes Fleisch braten.","5 Stücke rohes Fleisch braten.","","","PC_FryMeat_5.description","",""
"","10 Stücke rohes Fleisch braten.","10 Stücke rohes Fleisch braten.","","","PC_FryMeat_10.description","",""
"","Alles braten. (","Alles braten. (","","","DESC_FRYMEAT_ALL","",""
"","1 x Rohstahl erhitzen.","1 Rohstahl erhitzen.","","False","PC_SmithFire_1.description","",""
"","5 x Rohstahl erhitzen.","5 Rohstähle erhitzen.","","False","PC_SmithFire_5.description","",""
"","10 x Rohstahl erhitzen.","10 Rohstähle erhitzen.","","False","PC_SmithFire_10.description","",""
"","Gesamten Rohstahlvorrat erhitzen. (","Alle Rohstähle erhitzen. (","","False","DESC_SMITHFIRE_ALL","",""
"","1 x glühenden Stahl schmieden.","Aus glühendem Stahl 1 Klinge schmieden.","","False","PC_SmithAnvil_1.description","",""
"","5 x glühenden Stahl schmieden.","Aus glühendem Stahl 5 Klingen schmieden.","","False","PC_SmithAnvil_5.description","",""
"","10 x glühenden Stahl schmieden.","Aus glühendem Stahl 10 Klingen schmieden.","","False","PC_SmithAnvil_10.description","",""
"","Alles schmieden. (","Aus allen glühenden Stahlrohlingen Klingen schmieden. (","","False","DESC_SMITHANVIL_ALL","",""
"","eine glühende Klinge abschrecken.","1 glühende Klinge abschrecken.","","False","PC_SmithCool_1.description","",""
"","5 glühende Klingen abschrecken.","5 glühende Klingen abschrecken.","","","PC_SmithCool_5.description","",""
"","10 glühende Klingen abschrecken.","10 glühende Klingen abschrecken.","","","PC_SmithCool_10.description","",""
"","Alle glühenden Klingen abschrecken. (","Alle glühenden Klingen abschrecken. (","","","DESC_SMITHCOOL_ALL","",""
"","eine Klinge als Schwert schleifen.","1 Klinge als Schwert schleifen.","","False","PC_SmithSharp_1.description","",""
"","5 Klingen als Schwerter schleifen.","5 Klingen als Schwerter schleifen.","","","PC_SmithSharp_5.description","",""
"","10 Klingen als Schwerter schleifen.","10 Klingen als Schwerter schleifen.","","","PC_SmithSharp_10.description","",""
"","Alle Klingen als Schwerter schleifen. (","Alle Klingen als Schwerter schleifen. (","","","DESC_SMITHSHARP_ALL","",""
